epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb
1,0.001,0.7129738887151083,0.5833333333333334,0.5939849624060151,0.5266666666666666,0.558303886925795,0.8729219500223796,0.5,0.0,0.0,0.0,0.8754774475097656,0.5,0.0,0.0,0.0,11.350018318000366,1516.3
2,0.001,0.6138289260864258,0.66,0.6558441558441559,0.6733333333333333,0.6644736842105263,1.0239367564519246,0.5,0.0,0.0,0.0,1.0592945194244385,0.5,0.0,0.0,0.0,0.9723852420011099,983.9
3,0.001,0.6073165353139242,0.66,0.7,0.56,0.6222222222222222,0.832835988998413,0.51,1.0,0.02,0.0392156862745098,0.8921659231185913,0.49,0.0,0.0,0.0,0.8447373689996311,983.9
4,0.001,0.5694609626134237,0.7166666666666667,0.7443609022556391,0.66,0.6996466431095406,0.7183906714121501,0.5766666666666667,0.8709677419354839,0.18,0.2983425414364641,0.8477087068557739,0.51,0.6,0.06,0.10909090909090909,0.7957312220005406,983.9
5,0.001,0.5635794798533121,0.7033333333333334,0.6967741935483871,0.72,0.7081967213114754,0.6340259377161662,0.6466666666666666,0.8666666666666667,0.3466666666666667,0.49523809523809526,0.8480163621902466,0.51,0.5333333333333333,0.16,0.24615384615384617,0.8191565500001161,983.9
6,0.001,0.5721711778640747,0.7166666666666667,0.751937984496124,0.6466666666666666,0.6953405017921147,0.6292428898811341,0.6566666666666666,0.6017316017316018,0.9266666666666666,0.7296587926509186,0.8039308643341064,0.6,0.5657894736842105,0.86,0.6825396825396826,0.8184568309989118,983.9
7,0.001,0.5388274828592936,0.7233333333333334,0.7481481481481481,0.6733333333333333,0.7087719298245614,0.5569241015116374,0.6866666666666666,0.8111111111111111,0.4866666666666667,0.6083333333333333,0.8190464019775391,0.52,0.5416666666666666,0.26,0.35135135135135137,0.7775788839990128,983.9
8,0.001,0.558088542620341,0.6866666666666666,0.6971830985915493,0.66,0.678082191780822,0.5022792196273804,0.7533333333333333,0.7567567567567568,0.7466666666666667,0.7516778523489933,0.7805318546295166,0.59,0.5957446808510638,0.56,0.5773195876288659,0.8215384020004421,983.9
9,0.001,0.5695228330294291,0.7133333333333334,0.7807017543859649,0.5933333333333334,0.6742424242424242,0.5211177070935568,0.7366666666666667,0.6918918918918919,0.8533333333333334,0.764179104477612,0.7793097639083862,0.54,0.5357142857142857,0.6,0.5660377358490566,0.7943452870003966,983.9
10,0.001,0.5392258739471436,0.7366666666666667,0.7414965986394558,0.7266666666666667,0.734006734006734,0.47744120955467223,0.7733333333333333,0.759493670886076,0.8,0.7792207792207793,0.7668848896026611,0.59,0.6,0.54,0.5684210526315789,0.873740535998877,983.9
11,0.001,0.5416590476036072,0.7366666666666667,0.7028571428571428,0.82,0.7569230769230769,0.4656658395131429,0.78,0.78,0.78,0.78,0.7622277688980102,0.57,0.5813953488372093,0.5,0.5376344086021505,0.8008346380011062,983.9
12,0.001,0.5255712954203288,0.74,0.7769230769230769,0.6733333333333333,0.7214285714285714,0.48289131800333657,0.78,0.8134328358208955,0.7266666666666667,0.7676056338028169,0.7834179973602295,0.54,0.5526315789473685,0.42,0.4772727272727273,0.808939875998476,983.9
13,0.001,0.47096235156059263,0.78,0.7692307692307693,0.8,0.7843137254901961,0.645094952583313,0.67,0.6094420600858369,0.9466666666666667,0.741514360313316,1.0956858849525453,0.47,0.4805194805194805,0.74,0.5826771653543307,0.8174980809999397,983.9
14,0.001,0.5108149862289428,0.74,0.7278481012658228,0.7666666666666667,0.7467532467532467,0.4439927260080973,0.79,0.8222222222222222,0.74,0.7789473684210526,0.8568202495574951,0.54,0.5476190476190477,0.46,0.5,0.8167427420012245,983.9
15,0.001,0.524057875474294,0.7433333333333333,0.7967479674796748,0.6533333333333333,0.717948717948718,0.44501126607259117,0.7966666666666666,0.8296296296296296,0.7466666666666667,0.7859649122807018,0.8093884992599487,0.56,0.5833333333333334,0.42,0.4883720930232558,0.8048683540000638,983.9
16,0.001,0.5507195504506429,0.7033333333333334,0.6894409937888198,0.74,0.7138263665594855,0.47317208687464396,0.8,0.8082191780821918,0.7866666666666666,0.7972972972972973,0.7278181934356689,0.55,0.5641025641025641,0.44,0.4943820224719101,0.822591198999362,983.9
17,0.001,0.500314957300822,0.7633333333333333,0.7548387096774194,0.78,0.7672131147540984,0.5087551800409953,0.75,0.7192982456140351,0.82,0.7663551401869159,0.9079979562759399,0.55,0.5510204081632653,0.54,0.5454545454545454,0.8245140130002255,983.9
18,0.001,0.4992226052284241,0.7533333333333333,0.796875,0.68,0.7338129496402878,0.46179818630218505,0.78,0.9038461538461539,0.6266666666666667,0.7401574803149606,0.8602544784545898,0.55,0.5862068965517241,0.34,0.43037974683544306,0.8037215740005195,983.9
