phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
head,1,1,0.001,0.5239137780666351,0.75,0.7777777777777778,0.7,0.7368421052631579,0.2776973470052083,0.95,1.0,0.9,0.9473684210526315,0.29797882080078125,0.95,1.0,0.9,0.9473684210526315,22.5812536229987,522.8,2562
head,2,2,0.001,0.22673767109711965,0.96,0.9928571428571429,0.9266666666666666,0.9586206896551724,0.1381815085808436,0.9833333333333333,1.0,0.9666666666666667,0.9830508474576272,0.15384773254394532,0.97,1.0,0.94,0.9690721649484536,1.400208176999513,210.4,2562
head,3,3,0.001,0.12300308232506116,0.98,1.0,0.96,0.9795918367346939,0.0912501460313797,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.1016295623779297,0.97,1.0,0.94,0.9690721649484536,1.219873206999182,210.4,2562
head,4,4,0.001,0.09106145863731702,0.9833333333333333,0.9931972789115646,0.9733333333333334,0.9831649831649831,0.06958771387736003,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.08015403747558594,0.98,1.0,0.96,0.9795918367346939,1.2094759560004604,210.4,2562
head,5,5,0.001,0.0663138421624899,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.05582436551650365,1.0,1.0,1.0,1.0,0.07093826293945313,0.98,1.0,0.96,0.9795918367346939,1.1454435079995164,210.4,2562
head,6,6,0.001,0.06274909650286038,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.04679610252380371,1.0,1.0,1.0,1.0,0.06560651779174805,0.98,1.0,0.96,0.9795918367346939,1.2612704719995236,210.4,2562
head,7,7,0.001,0.05072897270321846,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.04046475261449814,1.0,1.0,1.0,1.0,0.05810365676879883,0.99,1.0,0.98,0.98989898989899,1.202763094999682,210.4,2562
head,8,8,0.001,0.038538458322485286,1.0,1.0,1.0,1.0,0.03553470134735107,1.0,1.0,1.0,1.0,0.05298340320587158,0.99,1.0,0.98,0.98989898989899,1.2625631080009043,210.4,2562
head,9,9,0.001,0.04086781029899915,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.03203966543078422,1.0,1.0,1.0,1.0,0.048496782779693604,0.99,1.0,0.98,0.98989898989899,1.186873075999756,210.4,2562
head,10,10,0.001,0.03147502427299818,1.0,1.0,1.0,1.0,0.02870415131251017,1.0,1.0,1.0,1.0,0.04625965595245361,0.99,1.0,0.98,0.98989898989899,1.1726728209996509,210.4,2562
head,11,11,0.001,0.0317737332979838,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.026263532588879267,1.0,1.0,1.0,1.0,0.04242337465286255,0.99,1.0,0.98,0.98989898989899,1.1747100539996609,210.4,2562
head,12,12,0.001,0.0352952945480744,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.023736062000195186,1.0,1.0,1.0,1.0,0.04103775382041931,0.99,1.0,0.98,0.98989898989899,1.1536759979990165,210.4,2562
finetune,1,13,0.0001,0.051435976773500446,0.99,0.9803921568627451,1.0,0.9900990099009901,0.021849189574519794,1.0,1.0,1.0,1.0,0.036556515693664554,0.99,1.0,0.98,0.98989898989899,1.0994986549994792,230.8,414722
