phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
finetune,1,13,0.0001,0.0458552885055542,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.02272867682079474,1.0,1.0,1.0,1.0,0.0375243079662323,0.99,1.0,0.98,0.98989898989899,1.155588768000598,230.8,414722
finetune,2,14,0.0001,0.03750649812320868,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.019216909830768902,1.0,1.0,1.0,1.0,0.036520111560821536,0.99,1.0,0.98,0.98989898989899,1.1988945669982058,230.8,414722
finetune,3,15,0.0001,0.025535357346137363,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.015929324229558308,1.0,1.0,1.0,1.0,0.03506393313407898,0.99,1.0,0.98,0.98989898989899,1.132148638000217,230.8,414722
finetune,4,16,0.0001,0.019340105454126993,1.0,1.0,1.0,1.0,0.013095964988072714,1.0,1.0,1.0,1.0,0.03128681540489197,0.99,1.0,0.98,0.98989898989899,1.0849011840000458,230.8,414722
finetune,5,17,0.0001,0.016394342581431073,1.0,1.0,1.0,1.0,0.011475110861162345,1.0,1.0,1.0,1.0,0.02824294924736023,0.99,1.0,0.98,0.98989898989899,1.1927413610028452,230.8,414722
finetune,6,18,0.0001,0.015550673405329386,1.0,1.0,1.0,1.0,0.00924245516459147,1.0,1.0,1.0,1.0,0.029502981901168825,0.99,1.0,0.98,0.98989898989899,1.1367839140002616,230.8,414722
finetune,7,19,0.0001,0.012444140513737996,1.0,1.0,1.0,1.0,0.007999523474524418,1.0,1.0,1.0,1.0,0.026942914724349974,0.99,1.0,0.98,0.98989898989899,1.215772919000301,230.8,414722
finetune,8,20,0.0001,0.013050032462924719,1.0,1.0,1.0,1.0,0.007189625098059575,1.0,1.0,1.0,1.0,0.024423147439956664,0.99,1.0,0.98,0.98989898989899,1.1615026969993778,230.8,414722
finetune,9,21,0.0001,0.01385366640985012,1.0,1.0,1.0,1.0,0.006044918298721313,1.0,1.0,1.0,1.0,0.025334005355834962,0.99,1.0,0.98,0.98989898989899,1.3469010049993813,230.8,414722
finetune,10,22,0.0001,0.007158109750598669,1.0,1.0,1.0,1.0,0.005403242905934652,1.0,1.0,1.0,1.0,0.02215150833129883,0.99,1.0,0.98,0.98989898989899,1.2554347020013665,230.8,414722
