phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
head,1,1,0.001,0.47569559772809344,0.85,0.9007633587786259,0.7866666666666666,0.8398576512455516,0.2489208988348643,0.9733333333333334,1.0,0.9466666666666667,0.9726027397260274,0.26231903076171875,0.96,1.0,0.92,0.9583333333333334,1.5708655279995583,210.4,2562
head,2,2,0.001,0.19210133870442708,0.98,0.9931506849315068,0.9666666666666667,0.9797297297297297,0.12111585001150767,1.0,1.0,1.0,1.0,0.13642921447753906,0.98,1.0,0.96,0.9795918367346939,1.1359315689987852,210.4,2562
head,3,3,0.001,0.10291086822748184,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.07958941141764322,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.09305238723754883,0.97,0.9795918367346939,0.96,0.9696969696969697,1.2850380660020164,210.4,2562
head,4,4,0.001,0.07667758931716283,1.0,1.0,1.0,1.0,0.060208590726057686,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.07418853759765626,0.97,0.9795918367346939,0.96,0.9696969696969697,1.2425807319996238,210.4,2562
head,5,5,0.001,0.06380102475484212,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.047662630180517834,1.0,1.0,1.0,1.0,0.06510490417480469,0.98,1.0,0.96,0.9795918367346939,1.1607273959998565,210.4,2562
head,6,6,0.001,0.05133468637863795,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.04005263810356458,1.0,1.0,1.0,1.0,0.060786800384521486,0.98,1.0,0.96,0.9795918367346939,1.0981253320023825,210.4,2562
head,7,7,0.001,0.043400632590055464,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.03505925173560778,1.0,1.0,1.0,1.0,0.05751063346862793,0.99,1.0,0.98,0.98989898989899,1.1730295769993972,210.4,2562
head,8,8,0.001,0.04163839819530646,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.030858860065539676,1.0,1.0,1.0,1.0,0.051474289894104006,0.99,1.0,0.98,0.98989898989899,1.2758989020003355,210.4,2562
head,9,9,0.001,0.03475154876708984,1.0,1.0,1.0,1.0,0.027487940043210982,1.0,1.0,1.0,1.0,0.048440141677856444,0.99,1.0,0.98,0.98989898989899,1.1694781389996933,210.4,2562
head,10,10,0.001,0.029947843551635742,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.02478631173570951,1.0,1.0,1.0,1.0,0.04607743263244629,0.99,1.0,0.98,0.98989898989899,1.1645624699995096,210.4,2562
head,11,11,0.001,0.026757063021262486,1.0,1.0,1.0,1.0,0.022369980067014694,1.0,1.0,1.0,1.0,0.044418971538543704,0.99,1.0,0.98,0.98989898989899,1.132835084998078,210.4,2562
head,12,12,0.001,0.024600939775506654,1.0,1.0,1.0,1.0,0.020232338483134906,1.0,1.0,1.0,1.0,0.04219050407409668,0.99,1.0,0.98,0.98989898989899,1.2059042929977295,210.4,2562
finetune,1,13,0.0001,0.049184711774190266,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.020622509320576986,1.0,1.0,1.0,1.0,0.03745415210723877,0.99,1.0,0.98,0.98989898989899,1.3637500320000981,230.8,414722
finetune,2,14,0.0001,0.0354015950486064,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.01822758197784424,1.0,1.0,1.0,1.0,0.03592118501663208,0.99,1.0,0.98,0.98989898989899,1.1706664100020134,230.8,414722
finetune,3,15,0.0001,0.026833735903104148,1.0,1.0,1.0,1.0,0.01584533929824829,1.0,1.0,1.0,1.0,0.030488481521606447,0.99,1.0,0.98,0.98989898989899,1.1736496699995769,230.8,414722
finetune,4,16,0.0001,0.018197652492672203,1.0,1.0,1.0,1.0,0.013007693688074747,1.0,1.0,1.0,1.0,0.02814446210861206,0.99,1.0,0.98,0.98989898989899,1.3289060160022927,230.8,414722
finetune,5,17,0.0001,0.013093470335006714,1.0,1.0,1.0,1.0,0.011275244144101937,1.0,1.0,1.0,1.0,0.027413737773895264,0.99,1.0,0.98,0.98989898989899,1.310409098998207,230.8,414722
finetune,6,18,0.0001,0.023610343523323536,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.009186213426291943,1.0,1.0,1.0,1.0,0.02657788395881653,0.99,1.0,0.98,0.98989898989899,1.1476549649996741,230.8,414722
finetune,7,19,0.0001,0.012590374151865641,1.0,1.0,1.0,1.0,0.0083497420946757,1.0,1.0,1.0,1.0,0.023562077283859253,0.99,1.0,0.98,0.98989898989899,1.2489784809986304,230.8,414722
finetune,8,20,0.0001,0.009259356257195274,1.0,1.0,1.0,1.0,0.007360293070475261,1.0,1.0,1.0,1.0,0.0231153404712677,0.99,1.0,0.98,0.98989898989899,1.159950558001583,230.8,414722
finetune,9,21,0.0001,0.010345354868719975,1.0,1.0,1.0,1.0,0.0067580513159434,1.0,1.0,1.0,1.0,0.02046165704727173,0.99,1.0,0.98,0.98989898989899,1.1434619039973768,230.8,414722
finetune,10,22,0.0001,0.009250263769645243,1.0,1.0,1.0,1.0,0.0057882511553665,1.0,1.0,1.0,1.0,0.020290160179138185,0.99,1.0,0.98,0.98989898989899,1.0484620850002102,230.8,414722
finetune,11,23,0.0001,0.010515877803166707,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.0054136323928833,1.0,1.0,1.0,1.0,0.019106276035308838,0.99,1.0,0.98,0.98989898989899,1.1167569080025714,230.8,414722
finetune,12,24,0.0001,0.008974957863489787,1.0,1.0,1.0,1.0,0.004778798818588257,1.0,1.0,1.0,1.0,0.02045895338058472,0.99,1.0,0.98,0.98989898989899,1.173637140997016,230.8,414722
finetune,13,25,0.0001,0.007255579236273965,1.0,1.0,1.0,1.0,0.004414914051691691,1.0,1.0,1.0,1.0,0.020425643920898438,0.99,1.0,0.98,0.98989898989899,1.1387590690028446,230.8,414722
finetune,14,26,0.0001,0.007128312985102336,1.0,1.0,1.0,1.0,0.0040668479539453985,1.0,1.0,1.0,1.0,0.020591163635253908,0.99,1.0,0.98,0.98989898989899,1.2594883810015745,230.8,414722
finetune,15,27,5e-05,0.010158662802229325,1.0,1.0,1.0,1.0,0.0038414740624527137,1.0,1.0,1.0,1.0,0.02101227641105652,0.99,1.0,0.98,0.98989898989899,1.1863946320008836,230.8,414722
finetune,16,28,5e-05,0.005069791053732236,1.0,1.0,1.0,1.0,0.0035621937084943057,1.0,1.0,1.0,1.0,0.02054674744606018,0.99,1.0,0.98,0.98989898989899,1.161597559999791,230.8,414722
finetune,17,29,5e-05,0.007944385210673014,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.0035633238187680644,1.0,1.0,1.0,1.0,0.01861776947975159,0.99,1.0,0.98,0.98989898989899,1.1359023340010026,230.8,414722
finetune,18,30,5e-05,0.004866954485575358,1.0,1.0,1.0,1.0,0.003311154448116819,1.0,1.0,1.0,1.0,0.01958709716796875,0.99,1.0,0.98,0.98989898989899,1.0500850479984365,230.8,414722
finetune,19,31,5e-05,0.006048712730407715,1.0,1.0,1.0,1.0,0.0032009633413205545,1.0,1.0,1.0,1.0,0.02115845203399658,0.99,1.0,0.98,0.98989898989899,1.16722347799805,230.8,414722
finetune,20,32,5e-05,0.011103919353336095,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.003152476151784261,1.0,1.0,1.0,1.0,0.018402212858200075,0.99,1.0,0.98,0.98989898989899,1.0738728219985205,230.8,414722
