architecture,display_name,best_validation_loss_mean,best_validation_loss_std,head_best_validation_loss_mean,head_best_validation_loss_std,finetune_best_validation_loss_mean,finetune_best_validation_loss_std,training_time_seconds_mean,training_time_seconds_std
convnext_tiny,ConvNeXt-Tiny,0.0018775379657745362,0.0005600857660693556,0.019887994527816772,0.001611041737829835,0.0018775379657745362,0.0005600857660693556,55.927201579668086,4.276746138012974
efficientnet_b0,EfficientNet-B0,0.01649053970972697,0.0020578736804488665,0.041559630632400514,0.0005840534956707494,0.01649053970972697,0.0020578736804488665,52.10376812533408,15.318144372372014
resnet18,ResNet18,0.04872817039489746,0.0008613611804275765,0.08545949220657349,0.014391280667060321,0.04872817039489746,0.0008613611804275765,28.611138026667202,2.905733616474459
