phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
head,1,1,0.001,0.6121712239583333,0.69,0.6706586826347305,0.7466666666666667,0.7066246056782335,0.32324946045875547,0.9266666666666666,0.9,0.96,0.9290322580645162,0.35527984619140623,0.93,0.9387755102040817,0.92,0.9292929292929293,1.1797088740004256,189.6,1026
head,2,2,0.001,0.24167514165242512,0.9366666666666666,0.906832298136646,0.9733333333333334,0.9389067524115756,0.16330518106619518,0.97,0.9607843137254902,0.98,0.9702970297029703,0.19451494216918946,0.95,0.9411764705882353,0.96,0.9504950495049505,0.8623669849985163,189.6,1026
head,3,3,0.001,0.13233891785144805,0.9733333333333334,0.961038961038961,0.9866666666666667,0.9736842105263158,0.11546196460723877,0.97,0.9548387096774194,0.9866666666666667,0.9704918032786886,0.1402847623825073,0.95,0.9245283018867925,0.98,0.9514563106796117,0.8563098310005444,189.6,1026
head,4,4,0.001,0.10291713237762451,0.98,0.9736842105263158,0.9866666666666667,0.9801324503311258,0.09422874470551809,0.98,0.9675324675324676,0.9933333333333333,0.9802631578947368,0.11846439838409424,0.96,0.9423076923076923,0.98,0.9607843137254902,0.8781852869997238,189.6,1026
head,5,5,0.001,0.08017605339487394,0.9866666666666667,0.9802631578947368,0.9933333333333333,0.9867549668874173,0.08206306397914886,0.98,0.9675324675324676,0.9933333333333333,0.9802631578947368,0.1058576774597168,0.96,0.9423076923076923,0.98,0.9607843137254902,0.8364714740000636,189.6,1026
head,6,6,0.001,0.08111777861913046,0.9833333333333333,0.9738562091503268,0.9933333333333333,0.9834983498349835,0.07554374257723491,0.98,0.9615384615384616,1.0,0.9803921568627451,0.0969085717201233,0.96,0.9423076923076923,0.98,0.9607843137254902,0.8224993130006624,189.6,1026
head,7,7,0.001,0.0628235379854838,0.9866666666666667,0.9932432432432432,0.98,0.9865771812080537,0.06763858656088512,0.9866666666666667,0.9802631578947368,0.9933333333333333,0.9867549668874173,0.09849432468414307,0.98,0.98,0.98,0.98,0.8764680240001326,189.6,1026
head,8,8,0.001,0.06319960753122965,0.99,0.9803921568627451,1.0,0.9900990099009901,0.07119642371932665,0.9766666666666667,0.9554140127388535,1.0,0.9771986970684039,0.09021816730499267,0.96,0.9259259259259259,1.0,0.9615384615384616,0.829776384998695,189.6,1026
head,9,9,0.001,0.05795216570297877,0.9866666666666667,0.9802631578947368,0.9933333333333333,0.9867549668874173,0.0565232726931572,0.99,0.9803921568627451,1.0,0.9900990099009901,0.08430729985237122,0.98,0.98,0.98,0.98,0.8860801409991836,189.6,1026
head,10,10,0.001,0.0536774916946888,1.0,1.0,1.0,1.0,0.05274819900592168,0.9866666666666667,0.974025974025974,1.0,0.9868421052631579,0.0786751389503479,0.97,0.9607843137254902,0.98,0.9702970297029703,1.1214719880008488,189.6,1026
head,11,11,0.001,0.04574479043483734,0.9866666666666667,0.9802631578947368,0.9933333333333333,0.9867549668874173,0.058025995939970015,0.98,0.9615384615384616,1.0,0.9803921568627451,0.07812304854393005,0.96,0.9259259259259259,1.0,0.9615384615384616,0.8327999899993301,189.6,1026
head,12,12,0.001,0.046296662886937456,0.9833333333333333,0.9738562091503268,0.9933333333333333,0.9834983498349835,0.049006399313608805,0.9866666666666667,0.974025974025974,1.0,0.9868421052631579,0.07209137201309204,0.96,0.9423076923076923,0.98,0.9607843137254902,0.8693524279988196,189.6,1026
finetune,1,13,0.0001,0.09563573241233826,0.9633333333333334,0.9602649006622517,0.9666666666666667,0.9634551495016611,0.016881764729817707,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.05525165915489197,1.0,1.0,1.0,1.0,0.9088903330011817,329.5,8394754
finetune,2,14,0.0001,0.013022830492506425,1.0,1.0,1.0,1.0,0.006102274656295776,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.05710142135620117,0.97,1.0,0.94,0.9690721649484536,0.829408350000449,329.5,8394754
finetune,3,15,0.0001,0.005878373781840007,1.0,1.0,1.0,1.0,0.0033778623988231023,1.0,1.0,1.0,1.0,0.07018294811248779,0.97,1.0,0.94,0.9690721649484536,0.8840766040011658,329.5,8394754
finetune,4,16,0.0001,0.005671054519092043,1.0,1.0,1.0,1.0,0.0017459956804911296,1.0,1.0,1.0,1.0,0.06189688682556152,0.97,1.0,0.94,0.9690721649484536,0.8626434059988242,329.5,8394754
finetune,5,17,0.0001,0.0020074693424006304,1.0,1.0,1.0,1.0,0.0015137024720509847,1.0,1.0,1.0,1.0,0.04785792112350464,0.98,1.0,0.96,0.9795918367346939,0.8578850850008166,329.5,8394754
finetune,6,18,0.0001,0.006834058365784585,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.0010671842094355573,1.0,1.0,1.0,1.0,0.053010271787643434,0.97,1.0,0.94,0.9690721649484536,1.0261760339999455,329.5,8394754
finetune,7,19,0.0001,0.0015086849528597667,1.0,1.0,1.0,1.0,0.0010452063878377278,1.0,1.0,1.0,1.0,0.06742493748664856,0.97,1.0,0.94,0.9690721649484536,0.875807734000773,329.5,8394754
finetune,8,20,0.0001,0.003015928268820668,1.0,1.0,1.0,1.0,0.0009212458141458532,1.0,1.0,1.0,1.0,0.07294456958770752,0.97,1.0,0.94,0.9690721649484536,0.8723736100000679,329.5,8394754
finetune,9,21,5e-05,0.002730085452397664,1.0,1.0,1.0,1.0,0.0006945645809173584,1.0,1.0,1.0,1.0,0.06778995513916015,0.98,1.0,0.96,0.9795918367346939,0.8571295450001344,329.5,8394754
finetune,10,22,5e-05,0.0005875515937805176,1.0,1.0,1.0,1.0,0.0007226240642679234,1.0,1.0,1.0,1.0,0.0575412392616272,0.98,1.0,0.96,0.9795918367346939,0.8595051330012211,329.5,8394754
finetune,11,23,5e-05,0.0028737497325831405,1.0,1.0,1.0,1.0,0.0007688156755951543,1.0,1.0,1.0,1.0,0.0525985848903656,0.98,1.0,0.96,0.9795918367346939,0.8350314010003785,329.5,8394754
