phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
finetune,1,13,0.0001,0.011395617698629698,1.0,1.0,1.0,1.0,0.003013408584520221,1.0,1.0,1.0,1.0,0.009682972431182862,1.0,1.0,1.0,1.0,3.535377793999942,633.7,14292482
finetune,2,14,0.0001,0.002938754161198934,1.0,1.0,1.0,1.0,0.0007893288143289586,1.0,1.0,1.0,1.0,0.005422930717468261,1.0,1.0,1.0,1.0,1.1108677499978512,633.5,14292482
finetune,3,15,0.0001,0.0012086955705308355,1.0,1.0,1.0,1.0,0.0003155752019180606,1.0,1.0,1.0,1.0,0.004170229434967041,1.0,1.0,1.0,1.0,1.1008273839979665,633.5,14292482
finetune,4,16,0.0001,0.0012355256142715613,1.0,1.0,1.0,1.0,0.00017107844333319615,1.0,1.0,1.0,1.0,0.0029142773151397705,1.0,1.0,1.0,1.0,1.0136210470009246,633.5,14292482
finetune,5,17,0.0001,0.00032856067021687824,1.0,1.0,1.0,1.0,0.00011358896891276042,1.0,1.0,1.0,1.0,0.0020931971073150633,1.0,1.0,1.0,1.0,1.0405751550024434,633.5,14292482
finetune,6,18,0.0001,0.000260896283822755,1.0,1.0,1.0,1.0,8.933703104654948e-05,1.0,1.0,1.0,1.0,0.0017957782745361328,1.0,1.0,1.0,1.0,1.1125849640011438,633.5,14292482
finetune,7,19,0.0001,0.00027752041819136745,1.0,1.0,1.0,1.0,7.421493539974714e-05,1.0,1.0,1.0,1.0,0.0016619813442230224,1.0,1.0,1.0,1.0,1.0280442139992374,633.5,14292482
finetune,8,20,0.0001,0.0009400391454497973,1.0,1.0,1.0,1.0,6.361365308597063e-05,1.0,1.0,1.0,1.0,0.001902099847793579,1.0,1.0,1.0,1.0,1.1173778269985633,633.5,14292482
finetune,9,21,0.0001,0.0003322398662082075,1.0,1.0,1.0,1.0,6.283601134782657e-05,1.0,1.0,1.0,1.0,0.002467917203903198,1.0,1.0,1.0,1.0,1.0615073129993107,633.5,14292482
finetune,10,22,0.0001,0.0005471185843149821,1.0,1.0,1.0,1.0,5.82861899844526e-05,1.0,1.0,1.0,1.0,0.0026259803771972656,1.0,1.0,1.0,1.0,1.066957013001229,633.5,14292482
finetune,11,23,5e-05,0.00026291608810424805,1.0,1.0,1.0,1.0,4.96395429460487e-05,1.0,1.0,1.0,1.0,0.0025431454181671143,1.0,1.0,1.0,1.0,1.044966564000788,633.5,14292482
finetune,12,24,5e-05,0.00029170751571655273,1.0,1.0,1.0,1.0,4.459460576375325e-05,1.0,1.0,1.0,1.0,0.002418484687805176,1.0,1.0,1.0,1.0,1.0394823149981676,633.5,14292482
finetune,13,25,5e-05,0.00010853966072318145,1.0,1.0,1.0,1.0,3.919919327017851e-05,1.0,1.0,1.0,1.0,0.0022269225120544432,1.0,1.0,1.0,1.0,1.074192338001012,633.5,14292482
