phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
head,1,1,0.001,0.4043875120083491,0.9233333333333333,0.9261744966442953,0.92,0.9230769230769231,0.1967237345377604,0.99,0.9867549668874173,0.9933333333333333,0.9900332225913622,0.21019454956054687,0.98,1.0,0.96,0.9795918367346939,1.4601545359982993,362.9,3074
head,2,2,0.001,0.15498100300629933,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.09051570892333985,0.99,0.9867549668874173,0.9933333333333333,0.9900332225913622,0.09936697006225587,1.0,1.0,1.0,1.0,1.1439725320014986,362.9,3074
head,3,3,0.001,0.08624757130940755,0.99,0.9867549668874173,0.9933333333333333,0.9900332225913622,0.055984293669462205,0.99,0.9867549668874173,0.9933333333333333,0.9900332225913622,0.059979457855224606,1.0,1.0,1.0,1.0,1.1163773859989305,362.9,3074
head,4,4,0.001,0.05570700642963251,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.040624674186110495,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.04420522212982178,1.0,1.0,1.0,1.0,1.0704828039997665,362.9,3074
head,5,5,0.001,0.04405595620473226,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.03205238657693068,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.03554889678955078,1.0,1.0,1.0,1.0,1.0006276630010689,362.9,3074
head,6,6,0.001,0.034043837438027066,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.02664718310038249,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.031666877269744875,1.0,1.0,1.0,1.0,1.065087302999018,362.9,3074
head,7,7,0.001,0.029119733969370523,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.022613250042001407,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.02842224597930908,1.0,1.0,1.0,1.0,1.0074981069992646,362.9,3074
head,8,8,0.001,0.0308374818166097,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.01950229606280724,1.0,1.0,1.0,1.0,0.026140743494033815,1.0,1.0,1.0,1.0,0.9982624120020773,362.9,3074
head,9,9,0.001,0.01905461664001147,1.0,1.0,1.0,1.0,0.01712343254437049,1.0,1.0,1.0,1.0,0.023757709264755247,1.0,1.0,1.0,1.0,1.03283428800205,362.9,3074
head,10,10,0.001,0.019196156685551007,1.0,1.0,1.0,1.0,0.014970788545906544,1.0,1.0,1.0,1.0,0.022494994401931763,1.0,1.0,1.0,1.0,1.186618008003279,362.9,3074
head,11,11,0.001,0.020965298016866047,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.013333356380462647,1.0,1.0,1.0,1.0,0.021308265924453736,1.0,1.0,1.0,1.0,1.0393138119979994,362.9,3074
head,12,12,0.001,0.01607063929239909,1.0,1.0,1.0,1.0,0.01145474155123035,1.0,1.0,1.0,1.0,0.01812575340270996,1.0,1.0,1.0,1.0,1.0637095759993827,362.9,3074
finetune,1,13,0.0001,0.010554258078336716,1.0,1.0,1.0,1.0,0.002277770838700235,1.0,1.0,1.0,1.0,0.008285852670669556,1.0,1.0,1.0,1.0,1.0717255820018181,633.6,14292482
finetune,2,14,0.0001,0.0032257986068725585,1.0,1.0,1.0,1.0,0.0010778538378265997,1.0,1.0,1.0,1.0,0.010452613830566407,1.0,1.0,1.0,1.0,1.0780946730010328,633.6,14292482
finetune,3,15,0.0001,0.003570742209752401,1.0,1.0,1.0,1.0,0.00037690560022989907,1.0,1.0,1.0,1.0,0.006418040990829468,1.0,1.0,1.0,1.0,1.1903587189990503,633.6,14292482
finetune,4,16,0.0001,0.0012026600044919178,1.0,1.0,1.0,1.0,0.00020528078079223633,1.0,1.0,1.0,1.0,0.004460592269897461,1.0,1.0,1.0,1.0,1.0113820820006367,633.6,14292482
finetune,5,17,0.0001,0.00035226702699825787,1.0,1.0,1.0,1.0,0.00014218886693318685,1.0,1.0,1.0,1.0,0.0034488070011138914,1.0,1.0,1.0,1.0,1.0649477810002281,633.6,14292482
finetune,6,18,0.0001,0.00047936161397956313,1.0,1.0,1.0,1.0,0.00011159737914567813,1.0,1.0,1.0,1.0,0.00297554612159729,1.0,1.0,1.0,1.0,1.0626379089990223,633.6,14292482
finetune,7,19,0.0001,0.0004295353094736735,1.0,1.0,1.0,1.0,9.233474726594674e-05,1.0,1.0,1.0,1.0,0.0027704310417175295,1.0,1.0,1.0,1.0,1.0923413919990708,633.6,14292482
finetune,8,20,0.0001,0.00046262065569559733,1.0,1.0,1.0,1.0,8.004784579194772e-05,1.0,1.0,1.0,1.0,0.0027893280982971193,1.0,1.0,1.0,1.0,1.151098631999048,633.6,14292482
finetune,9,21,0.0001,0.00022132754316165422,1.0,1.0,1.0,1.0,7.002671564502331e-05,1.0,1.0,1.0,1.0,0.002750014066696167,1.0,1.0,1.0,1.0,1.2193542799977877,633.6,14292482
finetune,10,22,0.0001,0.001097445487951821,1.0,1.0,1.0,1.0,6.253878280404023e-05,1.0,1.0,1.0,1.0,0.0026085972785949707,1.0,1.0,1.0,1.0,1.0852190519981377,633.6,14292482
finetune,11,23,0.0001,0.0006785134474436443,1.0,1.0,1.0,1.0,5.794684097054414e-05,1.0,1.0,1.0,1.0,0.002651139497756958,1.0,1.0,1.0,1.0,1.0595166430030076,633.6,14292482
finetune,12,24,0.0001,0.0001699181399696196,1.0,1.0,1.0,1.0,5.259116485831328e-05,1.0,1.0,1.0,1.0,0.002583310604095459,1.0,1.0,1.0,1.0,1.1003608880018874,633.6,14292482
finetune,13,25,0.0001,0.0001568726698072472,1.0,1.0,1.0,1.0,4.534920059086289e-05,1.0,1.0,1.0,1.0,0.0023560380935668947,1.0,1.0,1.0,1.0,1.1805637030010985,633.6,14292482
finetune,14,26,0.0001,0.00017761508623758952,1.0,1.0,1.0,1.0,3.966530166508164e-05,1.0,1.0,1.0,1.0,0.0021324431896209716,1.0,1.0,1.0,1.0,1.276979673999449,633.6,14292482
finetune,15,27,0.0001,0.0005211492379506429,1.0,1.0,1.0,1.0,3.264705337642226e-05,1.0,1.0,1.0,1.0,0.0016134238243103026,1.0,1.0,1.0,1.0,1.0986848430002283,633.6,14292482
finetune,16,28,0.0001,0.0001307861010718625,1.0,1.0,1.0,1.0,2.8865337396079363e-05,1.0,1.0,1.0,1.0,0.0014572560787200928,1.0,1.0,1.0,1.0,1.1424810589996923,633.6,14292482
finetune,17,29,0.0001,0.00019068280855814615,1.0,1.0,1.0,1.0,2.6151736577351888e-05,1.0,1.0,1.0,1.0,0.001627497673034668,1.0,1.0,1.0,1.0,1.0475064350030152,633.6,14292482
finetune,18,30,0.0001,0.00035980463023103465,1.0,1.0,1.0,1.0,2.474506693639948e-05,1.0,1.0,1.0,1.0,0.0020782577991485594,1.0,1.0,1.0,1.0,1.0518491520015232,633.6,14292482
finetune,19,31,0.0001,0.0004297057787092247,1.0,1.0,1.0,1.0,2.167145409960843e-05,1.0,1.0,1.0,1.0,0.0016872584819793701,1.0,1.0,1.0,1.0,1.0440060479995736,633.6,14292482
finetune,20,32,5e-05,8.298476537068685e-05,1.0,1.0,1.0,1.0,1.9853115093913706e-05,1.0,1.0,1.0,1.0,0.0014791738986968993,1.0,1.0,1.0,1.0,1.3384152270009508,633.6,14292482
