phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
head,1,1,0.001,0.41447062174479166,0.8966666666666666,0.8888888888888888,0.9066666666666666,0.8976897689768977,0.20822703083356223,0.9866666666666667,1.0,0.9733333333333334,0.9864864864864865,0.22625579833984374,0.97,1.0,0.94,0.9690721649484536,1.3978589229991485,362.9,3074
head,2,2,0.001,0.16317643493413925,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.09685999562342962,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.10889446258544921,0.99,1.0,0.98,0.98989898989899,1.0989055799982452,362.9,3074
head,3,3,0.001,0.08778839121262233,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.06070788696408272,0.99,0.9867549668874173,0.9933333333333333,0.9900332225913622,0.0635894012451172,1.0,1.0,1.0,1.0,1.0579252550014644,362.9,3074
head,4,4,0.001,0.06786380608876547,0.99,0.9803921568627451,1.0,0.9900990099009901,0.044515681217114134,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.0477057409286499,1.0,1.0,1.0,1.0,1.091502766998019,362.9,3074
head,5,5,0.001,0.05247015478710333,0.99,0.9803921568627451,1.0,0.9900990099009901,0.035300859635074934,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.04095113277435303,1.0,1.0,1.0,1.0,1.003129288998025,362.9,3074
head,6,6,0.001,0.03909880876541138,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.029351371104518572,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.03592965126037598,1.0,1.0,1.0,1.0,1.0119502720008313,362.9,3074
head,7,7,0.001,0.031012722626328468,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.024922363782922428,1.0,1.0,1.0,1.0,0.0330350399017334,1.0,1.0,1.0,1.0,1.0803686090002884,362.9,3074
head,8,8,0.001,0.02733855883901318,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.02146299401919047,1.0,1.0,1.0,1.0,0.030571616888046264,1.0,1.0,1.0,1.0,1.0747057660009887,362.9,3074
head,9,9,0.001,0.026458944901824,1.0,1.0,1.0,1.0,0.018707926260928313,1.0,1.0,1.0,1.0,0.027686474323272706,1.0,1.0,1.0,1.0,1.0384441990026971,362.9,3074
head,10,10,0.001,0.021441633701324462,1.0,1.0,1.0,1.0,0.016365076700846356,1.0,1.0,1.0,1.0,0.02521113395690918,1.0,1.0,1.0,1.0,1.069480158002989,362.9,3074
head,11,11,0.001,0.017043706588447095,1.0,1.0,1.0,1.0,0.014541901759803294,1.0,1.0,1.0,1.0,0.02317672848701477,1.0,1.0,1.0,1.0,1.2290075920027448,362.9,3074
head,12,12,0.001,0.017082454760869344,1.0,1.0,1.0,1.0,0.013052074102063974,1.0,1.0,1.0,1.0,0.021285191774368287,1.0,1.0,1.0,1.0,1.0199220239992428,362.9,3074
finetune,1,13,0.0001,0.009797703030829628,1.0,1.0,1.0,1.0,0.0025973002115885417,1.0,1.0,1.0,1.0,0.011827106475830079,1.0,1.0,1.0,1.0,1.1796706140012247,633.6,14292482
finetune,2,14,0.0001,0.0028042670087112735,1.0,1.0,1.0,1.0,0.0005234583226653436,1.0,1.0,1.0,1.0,0.008856354951858521,1.0,1.0,1.0,1.0,1.1354238310013898,633.6,14292482
finetune,3,15,0.0001,0.0007914690207690001,1.0,1.0,1.0,1.0,0.0002222474416097005,1.0,1.0,1.0,1.0,0.008069608211517334,1.0,1.0,1.0,1.0,1.1266032129969972,633.6,14292482
finetune,4,16,0.0001,0.0004749107364720355,1.0,1.0,1.0,1.0,0.0001196897029876709,1.0,1.0,1.0,1.0,0.005805151462554932,1.0,1.0,1.0,1.0,1.2889364769980602,633.6,14292482
finetune,5,17,0.0001,0.0007001372174515078,1.0,1.0,1.0,1.0,7.635275513166562e-05,1.0,1.0,1.0,1.0,0.0046328210830688474,1.0,1.0,1.0,1.0,1.1463808979970054,633.6,14292482
finetune,6,18,0.0001,0.000778938531827104,1.0,1.0,1.0,1.0,5.968530977649304e-05,1.0,1.0,1.0,1.0,0.004861801862716675,1.0,1.0,1.0,1.0,1.2690334200015059,633.6,14292482
finetune,7,19,0.0001,0.0001593053340911865,1.0,1.0,1.0,1.0,5.111416180928548e-05,1.0,1.0,1.0,1.0,0.005390117168426514,1.0,1.0,1.0,1.0,1.1858342470004573,633.6,14292482
finetune,8,20,0.0001,0.00048668265337861765,1.0,1.0,1.0,1.0,4.5359929354162885e-05,1.0,1.0,1.0,1.0,0.005656383037567139,1.0,1.0,1.0,1.0,1.1980099089996656,633.6,14292482
finetune,9,21,0.0001,0.0003086022543720901,1.0,1.0,1.0,1.0,3.580530479666777e-05,1.0,1.0,1.0,1.0,0.004452261924743652,1.0,1.0,1.0,1.0,1.1002756519992545,633.6,14292482
finetune,10,22,0.0001,0.00010300000506200984,1.0,1.0,1.0,1.0,2.8187831267132422e-05,1.0,1.0,1.0,1.0,0.00318595290184021,1.0,1.0,1.0,1.0,1.1767744819990185,633.6,14292482
finetune,11,23,0.0001,0.0005594174067179362,1.0,1.0,1.0,1.0,2.402067182022923e-05,1.0,1.0,1.0,1.0,0.002678396701812744,1.0,1.0,1.0,1.0,1.0910139830011758,633.6,14292482
finetune,12,24,0.0001,0.00011379639307657878,1.0,1.0,1.0,1.0,2.132614451208307e-05,1.0,1.0,1.0,1.0,0.002513376474380493,1.0,1.0,1.0,1.0,1.129729000000225,633.6,14292482
finetune,13,25,0.0001,0.0006073852380359312,1.0,1.0,1.0,1.0,1.9980271633054752e-05,1.0,1.0,1.0,1.0,0.0028549146652221678,1.0,1.0,1.0,1.0,1.2973851089991513,633.6,14292482
finetune,14,26,0.0001,0.000528487761815389,1.0,1.0,1.0,1.0,1.896659535608099e-05,1.0,1.0,1.0,1.0,0.003384166955947876,1.0,1.0,1.0,1.0,1.037618559999828,633.6,14292482
finetune,15,27,0.0001,6.384054800340285e-05,1.0,1.0,1.0,1.0,1.6668240229288736e-05,1.0,1.0,1.0,1.0,0.0031071627140045167,1.0,1.0,1.0,1.0,1.1425668749980105,633.6,14292482
finetune,16,28,5e-05,6.39915462428083e-05,1.0,1.0,1.0,1.0,1.4617045720418293e-05,1.0,1.0,1.0,1.0,0.002814227342605591,1.0,1.0,1.0,1.0,1.1306717229999776,633.6,14292482
finetune,17,29,5e-05,0.0002250039577484131,1.0,1.0,1.0,1.0,1.4335314420653351e-05,1.0,1.0,1.0,1.0,0.002922595739364624,1.0,1.0,1.0,1.0,1.151617632000125,633.6,14292482
finetune,18,30,5e-05,8.03689161936442e-05,1.0,1.0,1.0,1.0,1.4029741275104849e-05,1.0,1.0,1.0,1.0,0.0030356574058532713,1.0,1.0,1.0,1.0,1.160525998002413,633.6,14292482
