phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
head,1,1,0.001,0.7523740641276042,0.5033333333333333,0.5031446540880503,0.5333333333333333,0.517799352750809,0.4193560791015625,0.8733333333333333,0.917910447761194,0.82,0.8661971830985915,0.4875225830078125,0.78,0.85,0.68,0.7555555555555555,7.173217157998806,242.9,1026
head,2,2,0.001,0.3268814597527186,0.9133333333333333,0.8924050632911392,0.94,0.9155844155844156,0.19670050303141276,0.9466666666666667,0.91875,0.98,0.9483870967741935,0.2607202911376953,0.92,0.9038461538461539,0.94,0.9215686274509803,0.8810623820008914,189.6,1026
head,3,3,0.001,0.17858658164739608,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.13072900156180065,0.9566666666666667,0.9308176100628931,0.9866666666666667,0.9579288025889967,0.19040484428405763,0.94,0.9230769230769231,0.96,0.9411764705882353,0.8941250150000997,189.6,1026
head,4,4,0.001,0.13049672121802966,0.9566666666666667,0.9477124183006536,0.9666666666666667,0.9570957095709571,0.10483183612426122,0.9733333333333334,0.9493670886075949,1.0,0.974025974025974,0.1594325065612793,0.95,0.9245283018867925,0.98,0.9514563106796117,0.8607176199984679,189.6,1026
head,5,5,0.001,0.1092049773534139,0.9633333333333334,0.9602649006622517,0.9666666666666667,0.9634551495016611,0.08829049517711003,0.9733333333333334,0.9493670886075949,1.0,0.974025974025974,0.14433639049530028,0.95,0.9245283018867925,0.98,0.9514563106796117,0.8422048280008312,189.6,1026
head,6,6,0.001,0.0963198010623455,0.9666666666666667,0.9545454545454546,0.98,0.9671052631578947,0.08430886596441269,0.97,0.9433962264150944,1.0,0.970873786407767,0.132365665435791,0.95,0.9245283018867925,0.98,0.9514563106796117,0.8525688919999084,189.6,1026
head,7,7,0.001,0.08393797655900319,0.97,0.9548387096774194,0.9866666666666667,0.9704918032786886,0.07088913679122925,0.98,0.9615384615384616,1.0,0.9803921568627451,0.12324617862701416,0.95,0.9245283018867925,0.98,0.9514563106796117,0.9445953270005703,189.6,1026
head,8,8,0.001,0.07840351223945617,0.98,0.98,0.98,0.98,0.06382740706205368,0.9866666666666667,0.974025974025974,1.0,0.9868421052631579,0.11830242395401001,0.95,0.9245283018867925,0.98,0.9514563106796117,0.8591405300012411,189.6,1026
head,9,9,0.001,0.07005125602086384,0.9766666666666667,0.9612903225806452,0.9933333333333333,0.9770491803278688,0.06549958790342013,0.98,0.9615384615384616,1.0,0.9803921568627451,0.11152513980865479,0.95,0.9245283018867925,0.98,0.9514563106796117,0.8584478240009048,189.6,1026
head,10,10,0.001,0.054435306340456006,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.05483641147613525,0.9866666666666667,0.974025974025974,1.0,0.9868421052631579,0.10677460193634034,0.95,0.9245283018867925,0.98,0.9514563106796117,0.8784075790008501,189.6,1026
head,11,11,0.001,0.050966175372401876,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.05466973026593526,0.9833333333333333,0.967741935483871,1.0,0.9836065573770492,0.10186926364898681,0.95,0.9245283018867925,0.98,0.9514563106796117,0.8545346899991273,189.6,1026
head,12,12,0.001,0.05022322138150533,0.99,0.9867549668874173,0.9933333333333333,0.9900332225913622,0.04732521772384644,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.10069217681884765,0.96,0.9423076923076923,0.98,0.9607843137254902,0.8596947380010533,189.6,1026
finetune,1,13,0.0001,0.08739994843800862,0.97,0.9607843137254902,0.98,0.9702970297029703,0.008602854398389658,1.0,1.0,1.0,1.0,0.06174290060997009,0.98,1.0,0.96,0.9795918367346939,2.4860039340001094,329.8,8394754
finetune,2,14,0.0001,0.015419479608535767,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.0026745406771078706,1.0,1.0,1.0,1.0,0.048746230602264407,0.98,1.0,0.96,0.9795918367346939,0.9236771579999186,330.3,8394754
finetune,3,15,0.0001,0.0024753987789154054,1.0,1.0,1.0,1.0,0.0015303973356882731,1.0,1.0,1.0,1.0,0.06324889421463013,0.97,1.0,0.94,0.9690721649484536,0.8845140499997797,330.3,8394754
finetune,4,16,0.0001,0.006306031942367554,1.0,1.0,1.0,1.0,0.001288651624539246,1.0,1.0,1.0,1.0,0.061521075963974,0.97,1.0,0.94,0.9690721649484536,0.8655844610002532,330.3,8394754
finetune,5,17,0.0001,0.011310677925745647,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.001614869834544758,1.0,1.0,1.0,1.0,0.05898090958595276,0.97,1.0,0.94,0.9690721649484536,0.8546693759999471,330.3,8394754
finetune,6,18,5e-05,0.006982593921323618,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.0011862981334949533,1.0,1.0,1.0,1.0,0.06151733636856079,0.97,1.0,0.94,0.9690721649484536,0.887571225001011,330.3,8394754
finetune,7,19,5e-05,0.004766056935380523,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.0008183606473418574,1.0,1.0,1.0,1.0,0.06151490569114685,0.97,1.0,0.94,0.9690721649484536,0.8711539069990977,330.3,8394754
finetune,8,20,5e-05,0.004814316828657563,1.0,1.0,1.0,1.0,0.000706805387356629,1.0,1.0,1.0,1.0,0.06676645874977112,0.97,1.0,0.94,0.9690721649484536,0.877843934998964,330.3,8394754
