phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
head,1,1,0.001,0.5812946577866872,0.71,0.7086092715231788,0.7133333333333334,0.7109634551495017,0.3004357405503591,0.9266666666666666,0.8902439024390244,0.9733333333333334,0.9299363057324841,0.36359893798828125,0.9,0.8846153846153846,0.92,0.9019607843137255,1.1949948910005332,189.6,1026
head,2,2,0.001,0.2271810402472814,0.9433333333333334,0.9235668789808917,0.9666666666666667,0.9446254071661238,0.15578303317228953,0.9566666666666667,0.9254658385093167,0.9933333333333333,0.9581993569131833,0.19913700103759766,0.94,0.9230769230769231,0.96,0.9411764705882353,0.8491340839991608,189.6,1026
head,3,3,0.001,0.13024321248133977,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.11379463990529379,0.96,0.93125,0.9933333333333333,0.9612903225806452,0.14947184085845946,0.94,0.9230769230769231,0.96,0.9411764705882353,1.1000077339995187,189.6,1026
head,4,4,0.001,0.10512204011281331,0.9733333333333334,0.9551282051282052,0.9933333333333333,0.9738562091503268,0.09438143163919449,0.97,0.9433962264150944,1.0,0.970873786407767,0.12810586929321288,0.96,0.9423076923076923,0.98,0.9607843137254902,0.807566487999793,189.6,1026
head,5,5,0.001,0.08230350693066915,0.9833333333333333,0.9801324503311258,0.9866666666666667,0.9833887043189369,0.08055989334980647,0.9766666666666667,0.9554140127388535,1.0,0.9771986970684039,0.11554454803466797,0.96,0.9423076923076923,0.98,0.9607843137254902,0.8508514200002537,189.6,1026
head,6,6,0.001,0.07827881922324499,0.9866666666666667,0.9802631578947368,0.9933333333333333,0.9867549668874173,0.0729669150710106,0.9766666666666667,0.9554140127388535,1.0,0.9771986970684039,0.10757426261901855,0.96,0.9423076923076923,0.98,0.9607843137254902,0.8727993190004781,189.6,1026
head,7,7,0.001,0.070768836637338,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.06539095630248387,0.98,0.9615384615384616,1.0,0.9803921568627451,0.10174771308898926,0.96,0.9423076923076923,0.98,0.9607843137254902,0.9072154000004957,189.6,1026
head,8,8,0.001,0.06231898903846741,0.9833333333333333,0.967741935483871,1.0,0.9836065573770492,0.062462828656037646,0.9766666666666667,0.9554140127388535,1.0,0.9771986970684039,0.09664597153663636,0.96,0.9423076923076923,0.98,0.9607843137254902,0.8890815040012967,189.6,1026
head,9,9,0.001,0.05496803879737854,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.05463314016660054,0.9833333333333333,0.967741935483871,1.0,0.9836065573770492,0.09187031030654907,0.96,0.9423076923076923,0.98,0.9607843137254902,0.8804311060011969,189.6,1026
head,10,10,0.001,0.04782990495363871,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.05052332788705826,0.9866666666666667,0.974025974025974,1.0,0.9868421052631579,0.08891077041625976,0.97,0.9607843137254902,0.98,0.9702970297029703,0.8518330309998419,189.6,1026
head,11,11,0.001,0.04793177093068759,0.9866666666666667,0.9802631578947368,0.9933333333333333,0.9867549668874173,0.05428376952807108,0.98,0.9615384615384616,1.0,0.9803921568627451,0.08809050917625427,0.96,0.9423076923076923,0.98,0.9607843137254902,1.1601166439995723,189.6,1026
head,12,12,0.001,0.040849496473868686,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.04308808485666911,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.08359492778778076,0.97,0.9607843137254902,0.98,0.9702970297029703,0.8449686570002086,189.6,1026
finetune,1,13,0.0001,0.07225570877393087,0.98,0.9736842105263158,0.9866666666666667,0.9801324503311258,0.009360230378806591,1.0,1.0,1.0,1.0,0.05460645914077759,0.98,1.0,0.96,0.9795918367346939,0.8417694670006313,329.5,8394754
finetune,2,14,0.0001,0.03175033211708069,0.99,1.0,0.98,0.98989898989899,0.0030623292922973633,1.0,1.0,1.0,1.0,0.06485794186592102,0.96,1.0,0.92,0.9583333333333334,0.8833785579990945,329.5,8394754
finetune,3,15,0.0001,0.013643045822779337,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.0022583909860501685,1.0,1.0,1.0,1.0,0.04958035945892334,0.98,1.0,0.96,0.9795918367346939,0.8649489720010024,329.5,8394754
finetune,4,16,0.0001,0.0045818793789173164,1.0,1.0,1.0,1.0,0.0014890782007326681,1.0,1.0,1.0,1.0,0.05563827276229858,0.98,1.0,0.96,0.9795918367346939,0.8735258530014107,329.5,8394754
finetune,5,17,0.0001,0.00131591796875,1.0,1.0,1.0,1.0,0.0013883948295066754,1.0,1.0,1.0,1.0,0.06687277913093567,0.96,1.0,0.92,0.9583333333333334,0.8858693669990316,329.5,8394754
finetune,6,18,0.0001,0.014120139280954997,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.001203274327951173,1.0,1.0,1.0,1.0,0.07521624803543091,0.97,1.0,0.94,0.9690721649484536,0.8855959240008815,329.5,8394754
finetune,7,19,5e-05,0.0012591310404241084,1.0,1.0,1.0,1.0,0.0016244383649124453,1.0,1.0,1.0,1.0,0.07227314472198486,0.97,1.0,0.94,0.9690721649484536,0.8868381180000142,329.5,8394754
